term,cf,df,offset
1461,1,1,1628
14th,1,1,1629
15,64,46,1630
150,16,15,1676
1500,3,3,1691
15000,5,4,1694
150000,3,3,1698
1500edt,1,1,1701
150200,1,1,1702
1502est,1,1,1703
150300,1,1,1704
1503est,1,1,1705
150400,1,1,1706
1504est,1,1,1707
151,1,1,1708
151100,1,1,1709
1511est,1,1,1710
152,3,3,1711
153000,1,1,1714
1530est,1,1,1715
1534,1,1,1716
1540,1,1,1717
1540edt,1,1,1718
1541,1,1,1719
1541est,1,1,1720
1542,1,1,1721
154600,1,1,1722
1546edt,1,1,1723
154700,1,1,1724
1547edt,1,1,1725
154900,1,1,1726
1549est,1,1,1727
155,3,3,1728
155000,2,2,1731
155400,1,1,1733
1554est,1,1,1734
156,3,2,1735
15700,1,1,1737
159,1,1,1738
15th,3,2,1739
15thld,1,1,1741
16,61,43,1742
160,3,3,1785
1600,2,2,1788
160000,2,2,1790
1600edt,1,1,1792
1601,1,1,1793
160100,1,1,1794
1601edt,1,1,1795
1601est,1,1,1796
161,2,2,1797
1610,1,1,1799
1610est,1,1,1800
162,7,6,1801
162400,1,1,1807
1624edt,1,1,1808
162500,2,2,1809
1625est,2,2,1811
163400,1,1,1813
1634edt,1,1,1814
164100,1,1,1815
1641est,1,1,1816
1646,1,1,1817
1646est,1,1,1818
1647,1,1,1819
1647edt,1,1,1820
164900,1,1,1821
1649est,1,1,1822
165800,1,1,1823
1658edt,1,1,1824
165900,1,1,1825
1659est,1,1,1826
1667,1,1,1827
167,5,5,1828
168,1,1,1833
1682882,2,2,1834
17,78,53,1836
170,1,1,1889
17000,1,1,1890
170300,1,1,1891
1703est,1,1,1892
170900,1,1,1893
1709est,1,1,1894
171600,1,1,1895
1716est,1,1,1896
1722,1,1,1897
1722edt,1,1,1898
1724,1,1,1899
173,2,2,1900
1735edt,1,1,1902
174,1,1,1903
1741,1,1,1904
1741edt,1,1,1905
1742edt,1,1,1906
174400,1,1,1907
1744edt,1,1,1908
1749,2,2,1909
1749edt,1,1,1911
1749est,1,1,1912
1750,2,2,1913
1750edt,1,1,1915
175100,1,1,1916
1751edt,1,1,1917
1752,2,2,1918
1752edt,1,1,1920
1752est,1,1,1921
1755,1,1,1922
175500,1,1,1923
1755edt,1,1,1924
1757,1,1,1925
175700,1,1,1926
1757edt,2,2,1927
176,4,4,1929
177,2,2,1933
17th,4,4,1935
18,77,52,1939
180,2,2,1991
1800,1,1,1993
18000,1,1,1994
180000,1,1,1995
1801,1,1,1996
1801edt,1,1,1997
1807,1,1,1998
1807edt,2,2,1999
1808,2,2,2001
1808est,2,2,2003
1819,1,1,2005
1819est,1,1,2006
182,3,3,2007
1821,1,1,2010
1826,1,1,2011
1826est,1,1,2012
18295,1,1,2013
1830,2,2,2014
1830edt,1,1,2016
1831,1,1,2017
1831est,1,1,2018
1833,1,1,2019
1833edt,1,1,2020
1837,1,1,2021
1837est,1,1,2022
1843,1,1,2023
1843est,1,1,2024
1845,1,1,2025
1845est,1,1,2026
1849,1,1,2027
1849edt,1,1,2028
185,1,1,2029
1858,1,1,2030
1858edt,1,1,2031
1859,1,1,2032
1859edt,1,1,2033
186,1,1,2034
1865,1,1,2035
187,1,1,2036
1890,1,1,2037
18th,5,3,2038
18thld,2,2,2041
19,24,17,2043
190,2,2,2060
1900,4,4,2062
19000,2,2,2066
1902,1,1,2068
1902est,1,1,2069
1909,1,1,2070
1909est,1,1,2071
1911,1,1,2072
1913,1,1,2073
1917,1,1,2074
1917edt,1,1,2075
1918,2,2,2076
1918edt,2,2,2078
1920,3,3,2080
1920edt,2,2,2083
1921,1,1,2085
1936,1,1,2086
194,1,1,2087
1941,6,6,2088
1942,6,6,2094
1943,7,7,2100
1946,2,2,2107
1948,1,1,2109
1949,2,2,2110
1950,1,1,2112
1951,2,2,2113
1952,1,1,2115
1952est,1,1,2116
1953,1,1,2117
1953est,1,1,2118
1960,14,13,2119
1961,1,1,2132
1964,1,1,2133
1965,1,1,2134
1966,9,6,2135
1967,1,1,2141
1968,1,1,2142
1970,6,6,2143
1972,1,1,2149
1973,13,10,2150
1974,2,2,2160
1975,8,8,2162
1976,12,9,2170
1978,9,9,2179
1979,8,8,2188
1980,17,12,2196
1981,3,3,2208
1982,2,2,2211
